iri	name	status	description
cm:numericProperty	numeric property	cm:CoreActive	A data property that has a floating point value
cm:onCareClassification	on care classification	cm:CoreActive	points to the classification of care the patient is on whilst activity is being performed e.g. on waiting list
cm:oohwuc	Walk-in out of hours or urgent care centre	cm:CoreActive	A care setting in an out of hours centre, walkin centre or urgent care centre
cm:participants	has participants	cm:CoreActive	The type of people the encounter took place between e.g. the patient and health professiona;, third party and health professional, team etc
cm:ransactionalUpdate	Transactional update (model document)	cm:CoreActive	Document contains a set of transactional updates
cm:timeOrder	has time order	cm:CoreActive	points to the order of something relative to something else e.g. initial subsequent following etc
cm:toCareClassification	to care classification	cm:CoreActive	points to the subsequent care classification of the patient e.g. to inpatient
cm:usesDevice	uses device	cm:CoreActive	
cm:wasDerivedFrom	was derived from	cm:CoreActive	references a resource from which the resource or entry was transformed from
cm:wasGeneratedBy	was generated by	cm:CoreActive	An entity was generated by a provenance activity
cm:wasPerformedBy	was performed by	cm:CoreActive	references the person or device that performed the activity,usually used in provvenance
rm:AandEEncounterEntry	Accident and emergency entry	cm:CoreActive	An entry recording an encounter in the A&E unit. Specialised properties
rm:CriticalCareEntry	Critical care entry	cm:CoreActive	An entry recording information about a criticial care encounter
rm:DirectoryEntry	Directory entry	cm:CoreActive	An entry in a directory referred to by health record entries.\nExamples are helth professionals, organisations, locations, addresses
rm:EncounterEntry	Encounter entry	cm:CoreActive	A record entry about an encounter, which is an interaction between a patient (or
rm:HealthEvent	Health event entry	cm:CoreActive	A major provenanced entry in a health record. Something relating to health that 
rm:HospitalAdmitEntry	Hospital admission entry	cm:CoreActive	An entry recording the event of a hospital admission. Has specialised properties
rm:HospitalDischEntry	Hospital discharge entry	cm:CoreActive	An entry describing the event of a hospital discharge. Has specialised encounter properties
rm:HospitalInpEntry	Hospital inpatient stay entry	cm:CoreActive	An entry describing the stay of a patient in hospital. As well as spcialised properties it has sub component encounters of admission and discharge
rm:HospitalOpdEntry	Hospital outpatient entry	cm:CoreActive	An entry describing a hospital outpatient attendance
rm:ObservationEntry	Observation entry	cm:CoreActive	A type observation relating to the state of a patient including signs symptoms pathology
rm:Organisation	Organisation	cm:CoreActive	Record of an organisation , A legal entity, service or a group with a common pur
rm:Patient	Patient	cm:CoreActive	An entry for person with the role of a patient
rm:Person	Person	cm:CoreActive	An entry about a person containing the demographics of an individual human being
rm:Provenance	Provenance	cm:CoreActive	An entry in a record that is related to the provenance of another main entry
rm:RecordEntry	Record entry	cm:CoreActive	An attributed entry in a health record\nThis is a signicant entry concerning the
rm:RecordModel	Health record	cm:CoreActive	Definitions of health record entries i.e. things that would be expected to be im
rm:RecordSection	Encounter section header	cm:CoreActive	Is a subheading within an encounter record
rm:StructuredArtefact	Structural artefact	cm:CoreActive	A specialised structure forming part of a record or directory entry.\nThese sruc
rm:aAndEDepartmentType	a&e department type	cm:CoreActive	points to the type of a&e department
rm:adminCategoryonAdmission	administrative category on admission	cm:CoreActive	points to the patient administrative category at time of admission
rm:administrativePaymentCategory	administrative category	cm:CoreActive	points to patient administrative category for payment purposes
rm:admissionPatientClassification	has admission classification of patient	cm:CoreActive	Points to the admissin classification of a patient e.g. elective day admission or non elective ordinay admission of maternity
rm:aeAttendanceCategory	has a&e category of attendance of	cm:CoreActive	points to the category of attendance whether first, subsequent, planned or unplanned
rm:aeAttendanceSource	has a&e attendance source of	cm:CoreActive	points to the attendance source type for an a&E visit
rm:arrivalMode	has arrival mode	cm:CoreActive	points to the mode of arrival in accident and emergency
rm:attendanceStatus	has attendance status	cm:CoreActive	points to whether the patient attended or not
rm:booleanProperty	boolean property	cm:CoreActive	A data property that has a true false value
rm:dateTimeProperty	date time property	cm:CoreActive	A data property that has a date and time as a value
rm:hasActivityTime	has activity time	cm:CoreActive	date and time of activity
rm:hasAttendanceOutcome	has attendance outcome	cm:CoreActive	points to the outcome of the attendance
rm:hasComponentDate	has component date	cm:CoreActive	the date and time of the creation or update to the component
rm:hasCriticalCareUnitFunction	has critical care unit function	cm:CoreActive	Points to the overall function of the critical care unit
rm:hasDataController	has data controller	cm:CoreActive	references the organisation that is the data controller of the record entry (or sub organisation of that data controller)
rm:hasDateOfBirth	has date of birth	cm:CoreActive	Date of birth of person
rm:hasDateTimeOfEntry	has Date and time of entry	cm:CoreActive	A date and time a particular entry or component was made (local time)
rm:hasDischargeDestination	has discharge destination	cm:CoreActive	pints to the type of place a patient was discharged to
rm:hasDischargeMethod	has discharge method	cm:CoreActive	ponts to the method of discharge of the patient
rm:hasEffectiveDate	start date/time	cm:CoreActive	The effective start date and time relevant to the event being described (and not related to the entry date into the system)
rm:hasEndTime	end date/time	cm:CoreActive	the effective end date/time relevant to the event being described
rm:hasHeading	has heading	cm:CoreActive	points to the heading for this section
rm:hasIdentifier	has identifier	cm:CoreActive	property that holds an identifier. sub properties have annotations that indicate the idenfifier scheme
rm:hasNHSNumber	has NHS number	cm:CoreActive	property that points to the NHS number and has an NHS scheme annotation property
rm:hasODSCode	has ODS code	cm:CoreActive	holds the ODS code of the organisation
rm:hasObservationType	has observation type	cm:CoreActive	points to the main observation concept e.g. pulse rate, asthma
rm:hasOrganisationType	has organisation type	cm:CoreActive	points to the type of organisation
rm:hasProvenance	has provenance	cm:CoreActive	references the provenence of an entry i.e the history of the entry or its contents going back to its original creation
rm:hasSubcomponent	has subcomponent	cm:CoreActive	Entity may contain subcomponents
rm:hasSubject	has subject	cm:CoreActive	points to the patient this record is about
rm:hasType	has type	cm:CoreActive	The type of this record entry or directory entry which may further qualifier the
rm:isDMDataProperty	dm data property	cm:CoreActive	indicates that this property would be expected to be implmented as a field in a 
rm:isDMObjectProperty	is dm object property	cm:CoreActive	A property that would be used in the data store  as a table field) as opposed to
rm:isProvenanceFor	is provenance for	cm:CoreActive	points to the record entry that this is the provenance for
rm:isSubcomponentOf	is subcomponent of	cm:CoreActive	the entity is part of another entity e.g. a parent observation
rm:isSubjectOf	is subject of	cm:CoreActive	references the entries that this object is the subject of e.g. Patient 'is subject of' Encounter
rm:isUnderHeadingOf	is under heading of	cm:CoreActive	points to the record or encounter section heading that this component is part of
rm:methodOfAdmssion	has admission method	cm:CoreActive	Points to the method of admission such as whether from waiting list, booked or from A&e or direct from GP
rm:partOfEncounter	is part of encounter	cm:CoreActive	points to the encounter this is part of
rm:sourceOfAdmission	has admission source	cm:CoreActive	Points to the source of admission of the patient
rm:treatmentFunctionAdmit	treatment function for service for which admitted	cm:CoreActive	Treatment function / speciality service for which admitted
rm:treatmentSpecialty	treatment function type	cm:CoreActive	points to a treatment specialty service type
