iri	status	name	description	code	scheme
:CM_SrcAdmA5	:CM_ActiveStatus	Local Authority residential/care home	Local Authority residential accommodation i.e. where care is provided CDS type 65		
:CM_SrcAdmA6	:CM_ActiveStatus	Local Authority foster care	Local Authority foster care CDS type 66		
:CM_SrcAdmA7	:CM_ActiveStatus	Baby born in or on the way to hospital	Babies born in or on the way to hospital CDS type 79		
:CM_SrcAdmA8	:CM_ActiveStatus	Non-NHS/none local authority care Home	Non-NHS (other than Local Authority) run Care Home CDS type 85		
:CM_SrcAdmA9	:CM_ActiveStatus	None NHS hospital	Non NHS run hospital CDS type 87		
:CM_SrcAdmCo	:CM_ActiveStatus	Court	A court such as a HM Court CDS type 41, 37		
:CM_SrcAdmPSyHosp	:CM_ActiveStatus	High security psychiatric accommodation in an NHS Hospital	NHS Hospital Provider - high security psychiatric accommodation in an NHS Hospital Provider (NHS Trust or NHS Foundation Trust) CDS type 49		
:CM_SrcAdmPe	:CM_ActiveStatus	Penal establishment	Penal establishment CDS type 40		
:CM_SrcAdmPePoCo	:CM_ActiveStatus	Penal establishment, Court, or Police Station / Police Custody Suite	Penal establishment, Court, or Police Station / Police Custody Suite CDS types 39,40,41,42		
:CM_SrcAdmPo	:CM_ActiveStatus	Police Station / Police Custody Suite	Police Station / Police Custody Suite CDS type 42		
:CM_SrcAdmTempR	:CM_ActiveStatus	Temporary place of residence	Tempprary place of residence when usually resident elsewhere (e.g. hotels, residential Educational Establishments CDS type 29		
:CM_SrcAdmUsual	:CM_ActiveStatus	Usual place of residence	Usual place of residence unless listed below, for example, a private dwelling whether owner occupied or owned by Local Authority, housing association or other landlord. This includes wardened accommodation but not residential accommodation where health care is provided. It also includes PATIENTS with no fixed abode.  CDS type 19		
:CM_SrcAsmA10	:CM_ActiveStatus	Non-NHS/non local authority hospice	Non-NHS (other than Local Authority) run Hospice CDS type 88		
:CM_SurgeryPodEncounter	:CM_ActiveStatus	Consultation via surgery pod	Consultation using the surgery pod device		
:CM_Surgery_pod	:CM_ActiveStatus	Surgery pod			
:CM_TeamMeeting	:CM_ActiveStatus	Team meeting or case discussion	Team meeting or discussion about a case, not directly involving the patient		
:CM_TelephoneConsultation	:CM_ActiveStatus	Telephone consultation			
:CM_TelephoneTriage	:CM_ActiveStatus	Telephone triage consultation	Triage consultation over the telephone		
:CM_ThirdPartyConsultation	:CM_ActiveStatus	Consultation with third party	A consultation involving the health professional and a third party e.g. relative		
:CM_ThirdPartyTelcon	:CM_ActiveStatus	Telephone consultation with third party	Use of telephone consultation via a patients carer, representative, relative or relevant party other than the patient		
:CM_Transfer	:CM_ActiveStatus	Transfer event	Transfer of patient between two states or locations		
:CM_TransferCareClassification	:CM_ActiveStatus	Transfer care classification	Transfers a care classification		
:CM_TransferInpOp	:CM_ActiveStatus	Transfer inpatient to outpatient	The event of transferring the care classification from an inpatient to an outpatient		
:CM_TransferOpInp	:CM_ActiveStatus	Transfer a patient from outpatient to inpatient	The event of transferring a patient from inpatient to outpatient		
:CM_TransferWl	:CM_ActiveStatus	Transfer on waiting list			
:CM_TransferWlInpOp	:CM_ActiveStatus	Transfer on waiting list inpatient to outpatient	The event of transferring an inpatient to an outpatient on the waiting list		
:CM_TransferWlOpInp	:CM_ActiveStatus	Transfer on waiting list outpatient to inpatient	The event of transferring a waiting list from outpatient to inpatient		
:CM_Triage	:CM_ActiveStatus	Triage assessment	Triage or triage asessment		
:CM_TriageAssessmentEncounter	:CM_ActiveStatus	Triage assessment (encounter)	A note of a triage assessment of some kind		
:CM_UpdateEntry	:CM_ActiveStatus	Update entry	The update of or edit of, a current entry		
:CM_UpdateRecordEncounter	:CM_ActiveStatus	Update patient record	An activity that updates a patient record		
:CM_ValueTerminology	:CM_ActiveStatus	Health record value concept	Definition of concepts used as codeeable values in health record attributes in the health and care domain. \nThese refer to clinical or administrative concepts, often recorded via health records.\nOften referred to  codeable concepts, expressions, value sets, terminology.		
:CM_VideoConsultation	:CM_ActiveStatus	Video consultation	Consultation that took place via video link		
:CM_WlPreadmit	:CM_ActiveStatus	Pre-admission from waiting list	Marking the patient from waiting list as pre-admitted		
:CM_bidirectionalTransitive	:CM_ActiveStatus				
:CM_care_setting	:CM_ActiveStatus	takes place in care setting	points to a care setting.		
:CM_eam	:CM_ActiveStatus	Team	Team or group either adhoc or permanently established		
:CM_entryClass	:CM_ActiveStatus	is entry class	a tautoligical property indicating that the object is an entry as stored in a database. Its use is to indicate to implementors who are using high level entity types, as to the nature of the content of the entry i.e. the archetype		
:CM_fromCareClassification	:CM_ActiveStatus	from care classification	points to the preceding care classification in a transfer		
:CM_generated	:CM_ActiveStatus	generated	An activity generated an entity of some kind		
:CM_hasActivity	:CM_ActiveStatus	has activity	references the activity relevant to the item e.g. a provenance activity		
:CM_hasActivityType	:CM_ActiveStatus	has activity type	references the type of activity that occurred with the activity e.g. update of a data entry, delete or transformation		
:CM_hasCrudOperation	:CM_ActiveStatus	has crud operation	create read update and delete operations to the data store		
:CM_hasEventTypeOf	:CM_ActiveStatus	has event type of	references the concept that describes the type of event		
:CM_hasPatientCareClass	:CM_ActiveStatus	has patient care classification	Points to a category of the patient/ person at the time of the event e.g. patient outpatient, inpatient		
:CM_hasRecordHeldBy	:CM_ActiveStatus	has record held by	relationship pointing to the organisaion that holds the record for patient or client		
:CM_hasReplaced	:CM_ActiveStatus	has replaced	the newer concept on the left has replaced the older concept on the right		
:CM_hasResourceLocatorType	:CM_ActiveStatus	has resource locator type	the nature of the resource location e.g. URL, IRI, domain, directory etc		
:CM_hasUpdateTime	:CM_ActiveStatus	has update time	date and time of the update		
:CM_hird_party_hcp	:CM_ActiveStatus	Third party and Healthcare professional	A grouping consisting of a third party and a HealthData professional		
:CM_inactiveStatus	:CM_ActiveStatus	inactive status	The component is inactive i.e. had been inactivated		
:CM_integerProperty	:CM_ActiveStatus	integer property	A property that has an integer value		
:CM_isChildCodeOf	:CM_ActiveStatus	is child code of	the code on the left is a child code of the code on the right in a legacy classification		
:CM_isDataControllerOf	:CM_ActiveStatus	is data controller for	References the entry that the organisation is data controller of. Inverse property of 'has data controller'		
:CM_isProcess	:CM_ActiveStatus	is process	points to a type of care administration process such as an admission discharge or administration note		
:CM_method	:CM_ActiveStatus	method (attribute)	Snomed method attribute - 260686004		
:CM_numericProperty	:CM_ActiveStatus	numeric property	A data property that has a floating point value		
:CM_onCareClassification	:CM_ActiveStatus	on care classification	points to the classification of care the patient is on whilst activity is being performed e.g. on waiting list		
:CM_oohwuc	:CM_ActiveStatus	Walk-in out of hours or urgent care centre	A care setting in an out of hours centre, walkin centre or urgent care centre		
:CM_participants	:CM_ActiveStatus	has participants	The type of people the encounter took place between e.g. the patient and health professiona;, third party and health professional, team etc		
:CM_ransactionalUpdate	:CM_ActiveStatus	Transactional update (model document)	Document contains a set of transactional updates		
:CM_replacedWith	:CM_ActiveStatus	replaced with (or by)	A concept on the left has been replaced by another concept on the right		
:CM_timeOrder	:CM_ActiveStatus	has time order	points to the order of something relative to something else e.g. initial subsequent following etc		
:CM_toCareClassification	:CM_ActiveStatus	to care classification	points to the subsequent care classification of the patient e.g. to inpatient		
:CM_usesDevice	:CM_ActiveStatus	uses device			
:CM_wasDerivedFrom	:CM_ActiveStatus	was derived from	references a resource from which the resource or entry was transformed from		
:CM_wasGeneratedBy	:CM_ActiveStatus	was generated by	An entity was generated by a provenance activity		
:CM_wasPerformedBy	:CM_ActiveStatus	was performed by	references the person or device that performed the activity,usually used in provvenance		
:CTV3	:CM_ActiveStatus	CTV3 Code	An official UK Read 3 codes, not including TPP \"Y\" codes		
:DiscoveryCode	:CM_ActiveStatus	Discovery code	Discovery core code for value based concepts. Always the same as the IRI affix after the Discovery baseline IRI of http://www.DiscoveryDataService.org/InformationModel#		
:EMISLocal	:CM_ActiveStatus	EMIS local code	The code is an EMIS code assigned by EMIS, not a Read 2 code,  whether a direct equivalent of Snomed OR not.		
:HomertonCernerCode	:CM_ActiveStatus	Homerton Cerner code	A Cerner generated code as used in Homerton NHS Trust		
:ICD10	:CM_ActiveStatus	ICD10 code	Official ICD10 code as used in NHS		
:OPCS4	:CM_ActiveStatus	OPCS4 code	An OPCS4 official code		
:QC_MaternityAdmission	:CM_ActiveStatus	Maternity admission	Maternity admission record derived from either admission method or admission classification of patient		
:QC_QRecordQuery	:CM_ActiveStatus	Query concept	A concept that is defined by a combination of ontology and data model attributes		
:RM_AandEEncounterEntry	:CM_ActiveStatus	Accident and emergency entry	An entry recording an encounter in the A&E unit. Specialised properties		
:RM_Age	:CM_ActiveStatus				
:RM_CriticalCareEntry	:CM_ActiveStatus	Critical care entry	An entry recording information about a criticial care encounter		
:RM_DirectoryEntry	:CM_ActiveStatus	Directory entry	An entry in a directory referred to by health record entries.\nExamples are helth professionals, organisations, locations, addresses		
:RM_DiscoveryCoreDataModel	:CM_ActiveStatus	Discovery core data model	The core data model supported by the Discovery data service.		
:RM_EncounterEntry	:CM_ActiveStatus	Encounter entry	A record entry about an encounter, which is an interaction between a patient (or on behalf of the patient) and a health professional or health provider. \nIt includes consultations as well as care processes such as admission, discharges. It also includes the noting of a filing of a document or report. Each encounter subclass is given a type which is then used to determine the additional properties expected in the record.\nSpecialised encounters are further defined as subclasses by additional properties commensurate with the encounter type		
:RM_EntitySubtype	:CM_ActiveStatus	Entity sub type attribute	Points to the field in the implmented database scheme which is used as the subtype indicator during query or fiing of data		
:RM_FunctionalValue	:CM_ActiveStatus	Functional value concept	A query or formula based derived value for use in the data model.\nTypical example might be an age or ethnicity.\nThe definition uses Information model extended query language and therefore contains elements that are not supported by OWL		
:RM_HospitalAdmitEntry	:CM_ActiveStatus	Hospital admission entry	An entry recording the event of a hospital admission. Has specialised properties		
:RM_HospitalDischEntry	:CM_ActiveStatus	Hospital discharge entry	An entry describing the event of a hospital discharge. Has specialised encounter properties		
:RM_HospitalInpEntry	:CM_ActiveStatus	Hospital inpatient stay entry	An entry describing the stay of a patient in hospital. As well as spcialised properties it has sub component encounters of admission and discharge		
:RM_HospitalOpdEntry	:CM_ActiveStatus	Hospital outpatient entry	An entry describing a hospital outpatient attendance		
:RM_LocationEntry	:CM_ActiveStatus	Location	An actual location for some activity. It is associated with geospacial coordinates and properties and addresses		
:RM_ObservationEntry	:CM_ActiveStatus	Observation entry	A type observation relating to the state of a patient including signs symptoms pathology		
:RM_Organisation	:CM_ActiveStatus	Organisation	Record of an organisation , A legal entity, service or a group with a common purpose.\nHas an organisation type which determines the extended properties		
:RM_Patient	:CM_ActiveStatus	Patient	An entry for person with the role of a patient		
:RM_Person	:CM_ActiveStatus	Person	An entry about a person containing the demographics of an individual human being		
:RM_Provenance	:CM_ActiveStatus	Provenance	An entry in a record that is related to the provenance of another main entry		
:RM_RecordSection	:CM_ActiveStatus	Encounter section header	Is a subheading within an encounter record		
:RM_StructuredArtefact	:CM_ActiveStatus	Structural artefact	A specialised structure forming part of a record or directory entry.\nThese sructures canno stand alone i.e. must be part of, or referred to, by a record entry or directory entry		
:RM_aAndEDepartmentType	:CM_ActiveStatus	a&e department type	points to the type of a&e department		
:RM_adminCategoryonAdmission	:CM_ActiveStatus	administrative category on admission	points to the patient administrative category at time of admission		
:RM_administrativePaymentCategory	:CM_ActiveStatus	administrative category	points to patient administrative category for payment purposes		
:RM_admissionPatientClassification	:CM_ActiveStatus	has admission classification of patient	Points to the admissin classification of a patient e.g. elective day admission or non elective ordinay admission of maternity		
:RM_aeAttendanceCategory	:CM_ActiveStatus	has a&e category of attendance of	points to the category of attendance whether first, subsequent, planned or unplanned		
:RM_aeAttendanceSource	:CM_ActiveStatus	has a&e attendance source of	points to the attendance source type for an a&E visit		
:RM_arrivalMode	:CM_ActiveStatus	has arrival mode	points to the mode of arrival in accident and emergency		
:RM_attendanceStatus	:CM_ActiveStatus	has attendance status	points to whether the patient attended or not		
:RM_booleanProperty	:CM_ActiveStatus	boolean property	A data property that has a true false value		
:RM_dateTimeProperty	:CM_ActiveStatus	date time property	A data property that has a date and time as a value		
:RM_dmDerivedProperty	:CM_ActiveStatus	data model derived property	A data model property that is derived only when the record is examined. The properties value is generated via  function which takes a number of parameters, including other property values from the record		
:RM_hasActivityTime	:CM_ActiveStatus	has activity time	date and time of activity		
:RM_hasAttendanceOutcome	:CM_ActiveStatus	has attendance outcome	points to the outcome of the attendance		
:RM_hasComponentDate	:CM_ActiveStatus	has component date	the date and time of the creation or update to the component		
:RM_hasCriticalCareUnitFunction	:CM_ActiveStatus	has critical care unit function	Points to the overall function of the critical care unit		
:RM_hasDataController	:CM_ActiveStatus	has data controller	references the organisation that is the data controller of the record entry (or sub organisation of that data controller)		
:RM_hasDateOfBirth	:CM_ActiveStatus	has date of birth	Date of birth of person		
:RM_hasDateTimeOfEntry	:CM_ActiveStatus	has Date and time of entry	A date and time a particular entry or component was made (local time)		
:RM_hasDischargeDestination	:CM_ActiveStatus	has discharge destination	pints to the type of place a patient was discharged to		
:RM_hasDischargeMethod	:CM_ActiveStatus	has discharge method	ponts to the method of discharge of the patient		
:RM_hasEffectiveDate	:CM_ActiveStatus	start date/time	The effective start date and time relevant to the event being described (and not related to the entry date into the system)		
:RM_hasEndTime	:CM_ActiveStatus	end date/time	the effective end date/time relevant to the event being described		
:RM_hasHeading	:CM_ActiveStatus	has heading	points to the heading for this section		
:RM_hasIdentifier	:CM_ActiveStatus	has identifier	property that holds an identifier. sub properties have annotations that indicate the idenfifier scheme		
:RM_hasNHSNumber	:CM_ActiveStatus	has NHS number	property that points to the NHS number and has an NHS scheme annotation property		
:RM_hasName	:CM_ActiveStatus	has name	points to the name of something such as an organisation or location		
:RM_hasODSCode	:CM_ActiveStatus	has ODS code	holds the ODS code of the organisation		
:RM_hasObservationType	:CM_ActiveStatus	has observation type	points to the main observation concept e.g. pulse rate, asthma		
:RM_hasOrganisationType	:CM_ActiveStatus	has organisation type	points to the type of organisation		
:RM_hasProvenance	:CM_ActiveStatus	has provenance	references the provenence of an entry i.e the history of the entry or its contents going back to its original creation		
:RM_hasSubcomponent	:CM_ActiveStatus	has subcomponent	Entity may contain subcomponents		
:RM_hasSubject	:CM_ActiveStatus	has subject	points to the patient this record is about		
:RM_hasType	:CM_ActiveStatus	has type	The type of this record entry or directory entry which may further qualifier the properties of the entry.\nThe property points to a value set which is increasingly specific with sub types of record entries or directory entries		
:RM_isDMDataProperty	:CM_ActiveStatus	data model data property	indicates that this property would be expected to be implmented as a field in a database or attribute within the data store, as opposed to a definitional property in the knowledge base. It has a simple data type as a value		
:RM_isDMDerivedProperty	:CM_ActiveStatus	data model derived property	A data model data property that is derived only when the record is examined. The properties value is generated via  function which takes a number of parameters, including other property values from the record		
:RM_isDMDisplayProperty	:CM_ActiveStatus	data model display property	A property that points to the display algorithm for this particular entity		
:RM_isDMObjectProperty	:CM_ActiveStatus	data model object property	A property that would be used in the data store  as a table field) as opposed to a property that is part of the definition of the class and points to an object (concept) or other entity (foreign key)		
:RM_isProvenanceFor	:CM_ActiveStatus	is provenance for	points to the record entry that this is the provenance for		
:RM_isSubcomponentOf	:CM_ActiveStatus	is subcomponent of	the entity is part of another entity e.g. a parent observation		
:RM_isSubjectOf	:CM_ActiveStatus	is subject of	references the entries that this object is the subject of e.g. Patient 'is subject of' Encounter		
:RM_isUnderHeadingOf	:CM_ActiveStatus	is under heading of	points to the record or encounter section heading that this component is part of		
:RM_methodOfAdmssion	:CM_ActiveStatus	has admission method	Points to the method of admission such as whether from waiting list, booked or from A&e or direct from GP		
:RM_partOfEncounter	:CM_ActiveStatus	is part of encounter	points to the encounter this is part of		
:RM_sourceOfAdmission	:CM_ActiveStatus	has admission source	Points to the source of admission of the patient		
:RM_treatmentFunctionAdmit	:CM_ActiveStatus	treatment function for service for which admitted	Treatment function / speciality service for which admitted		
:RM_treatmentSpecialty	:CM_ActiveStatus	treatment function type	points to a treatment specialty service type		
:Read2	:CM_ActiveStatus	Read 2 code	An official or unofficial Read 2 code, including term code extensions, in the supplier specific format e.g. H33-1 (emis) or 1R4W00 (Vision).\nIncludes newly issued Read 2 codes for Vision		
:SN_224930009	:CM_ActiveStatus	Services	Service specialty types		
:SN_2546009	:CM_ActiveStatus	At night	temporal aspect of being at night or nocturnal		
:SN_257194007	:CM_ActiveStatus	Video			
:SN_260870009	:CM_ActiveStatus				
:SN_308913005	:CM_ActiveStatus	Qualifier value (qualifier value)	Snomed CT qualifier value		
:SN_325931000000109	:CM_ActiveStatus	Assessment	Snomed concept for encounter type  of assessment - 325931000000109		
:SN_359993007	:CM_ActiveStatus	Telephone			
:SN_370134009	:CM_ActiveStatus	has time aspect	points to a time period type such as night time or day time		
:SN_424226004	:CM_ActiveStatus	using device	a device used by a procedure or observation or encounter		
:SN_721421000000101	:CM_ActiveStatus	Email			
:SN_999002981000000107	:CM_ActiveStatus	Accident and emergency arrival mode	A&E Arrival mode (UK reference set)		
:SN_999002991000000109	:CM_ActiveStatus	Accident and emergency attendance source	Reference set for an A&E attendance source (UK Somed reference set)		
:Snomed-CT	:CM_ActiveStatus	Snomed-CT code	An international or UK Snomed code. This does not include supplier specfic, local, or Discovery namespace extensions		
:TPPLocalCode	:CM_ActiveStatus				
:TermBasedCode	:CM_ActiveStatus	Term based code	The code is actually an original term. The term has sufficient context to be relied upon no matter what publisher it came from.\n\nFor example.\nThe EMIS encounter type term \"inpatient admission\"  is in fact a recorded note of a discharge report.\nThe same term \"inpatient admission\", generated from a hospital ADT message can be considered to be the event of the admission.		
:VSET_Covid0	:CM_ActiveStatus	Covid related value sets	Value sets related to corona virus disease 2019		
:VSET_Covid1	:CM_ActiveStatus	Confirmed Covid 19 value set	Confirmed covid value set for summary purposes		
:VSET_Covid10	:CM_ActiveStatus	Excluded as Covid 19 by laboratory test	Explicitly recorded as being excluded via lab test		
:VSET_Covid2	:CM_ActiveStatus	Exposure to coronavirus infection - value set			
:VSET_Covid3	:CM_ActiveStatus	Suspected coronavirus infection value set			
:VSET_Covid4	:CM_ActiveStatus	Tested for coronavirus infection value set			
:VSET_Covid5	:CM_ActiveStatus	Advice or consultation about Covid value set			
:VSET_Covid6	:CM_ActiveStatus	Recorded as at high or moderate risk of covid 19	Explicity record in the record as being at high or moderate risk of covid 19 includin		
:VSET_Covid7	:CM_ActiveStatus	Recorded as high risk of Covid 19	Explicit recording in the record of high risk of covid		
:VSET_Covid8	:CM_ActiveStatus	Recorded as moderate risk of covid 19	Explicit recording of moderate risk of covid 19		
:VSET_Covid9	:CM_ActiveStatus	Recorded as low risk of covid 19	Explicit recording of low risk of Covid 19		
:VSET_HospitalEncounter1	:CM_ActiveStatus	Accident and emergency attendances	Covid value set for A&E attendances		
:VSET_HospitalEncounter2	:CM_ActiveStatus	Hospital inpatient admissions	covid value set for hospital inpatient admissions		
:VSET_HospitalEncounter3	:CM_ActiveStatus	Hospital discharges			
:VSET_HospitalEncounter4	:CM_ActiveStatus	Hospital outpatient attendances	Value set for covid showing outpatient attendances in general		
:VSET_HospitalEncounter5	:CM_ActiveStatus	Hospital day case encounters	Hospital day case encounter inferences. Does not include waiting list management.		
:VSET_ValueSet	:CM_ActiveStatus	Value set	Business oriented value sets containing sets of terminology concepts for a specific purpose.\nThis contrasts with value terminology which defines terms by their meaning.\nSubtypes include Discovery value sets		
:VSET_ValueSets	:CM_ActiveStatus	Hospital encounter value sets	Value sets associated with covide outbreak		
