concept	group	property	object
rm:ObservationEntry	0	rm:isUnderHeadingOf	rm:RecordSection
rm:ObservationEntry	0	rm:partOfEncounter	rm:EncounterEntry
rm:ObservationEntry	0	sn:SN_116680003	rm:HealthEvent
rm:Organisation	0	sn:SN_116680003	rm:DirectoryEntry
rm:Patient	0	rm:hasDataController	rm:Organisation
rm:Patient	0	sn:SN_116680003	rm:Person
rm:Patient	0	sn:SN_116680003	rm:RecordEntry
rm:Person	0	sn:SN_116680003	rm:DirectoryEntry
rm:Provenance	0	sn:SN_116680003	rm:RecordModel
rm:RecordEntry	0	rm:hasDataController	rm:Organisation
rm:RecordEntry	0	sn:SN_116680003	rm:RecordModel
rm:RecordModel	0	sn:SN_116680003	cm:Concept
rm:RecordSection	0	sn:SN_116680003	rm:StructuredArtefact
rm:StructuredArtefact	0	sn:SN_116680003	rm:RecordModel
rm:aAndEDepartmentType	0	sn:SN_116680003	rm:isDMObjectProperty
rm:adminCategoryonAdmission	0	sn:SN_116680003	rm:isDMObjectProperty
rm:administrativePaymentCategory	0	sn:SN_116680003	rm:isDMObjectProperty
rm:admissionPatientClassification	0	sn:SN_116680003	rm:isDMObjectProperty
rm:aeAttendanceCategory	0	sn:SN_116680003	rm:isDMObjectProperty
rm:aeAttendanceSource	0	sn:SN_116680003	rm:isDMObjectProperty
rm:arrivalMode	0	sn:SN_116680003	rm:isDMObjectProperty
rm:attendanceStatus	0	sn:SN_116680003	rm:isDMObjectProperty
rm:booleanProperty	0	sn:SN_116680003	cm:Concept
rm:dateTimeProperty	0	sn:SN_116680003	cm:Concept
rm:hasActivityTime	0	sn:SN_116680003	cm:Concept
rm:hasAttendanceOutcome	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasComponentDate	0	sn:SN_116680003	cm:Concept
rm:hasCriticalCareUnitFunction	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasDataController	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasDateOfBirth	0	sn:SN_116680003	cm:Concept
rm:hasDateTimeOfEntry	0	sn:SN_116680003	cm:Concept
rm:hasDischargeDestination	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasDischargeMethod	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasEffectiveDate	0	sn:SN_116680003	cm:Concept
rm:hasEndTime	0	sn:SN_116680003	cm:Concept
rm:hasHeading	0	sn:SN_116680003	cm:Concept
rm:hasIdentifier	0	sn:SN_116680003	cm:Concept
rm:hasNHSNumber	0	sn:SN_116680003	cm:Concept
rm:hasODSCode	0	sn:SN_116680003	cm:Concept
rm:hasObservationType	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasOrganisationType	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasProvenance	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasSubcomponent	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasSubject	0	sn:SN_116680003	rm:isDMObjectProperty
rm:hasType	0	sn:SN_116680003	rm:isDMObjectProperty
rm:isDMDataProperty	0	sn:SN_116680003	cm:Concept
rm:isDMObjectProperty	0	sn:SN_116680003	cm:Concept
rm:isProvenanceFor	0	sn:SN_116680003	rm:isDMObjectProperty
rm:isSubcomponentOf	0	sn:SN_116680003	rm:isDMObjectProperty
rm:isSubjectOf	0	sn:SN_116680003	rm:isDMObjectProperty
rm:isUnderHeadingOf	0	sn:SN_116680003	rm:isDMObjectProperty
rm:methodOfAdmssion	0	sn:SN_116680003	rm:isDMObjectProperty
rm:partOfEncounter	0	sn:SN_116680003	rm:isDMObjectProperty
rm:sourceOfAdmission	0	sn:SN_116680003	rm:isDMObjectProperty
rm:treatmentFunctionAdmit	0	sn:SN_116680003	rm:isDMObjectProperty
rm:treatmentSpecialty	0	sn:SN_116680003	rm:isDMObjectProperty
sn:SN_224930009	0	sn:SN_116680003	sn:SN_308913005
sn:SN_2546009	0	sn:SN_116680003	sn:SN_308913005
sn:SN_257194007	0	sn:SN_116680003	cm:EncounterDevice
sn:SN_260870009	0	sn:SN_116680003	cm:Concept
sn:SN_308913005	0	sn:SN_116680003	cm:ValueSet
sn:SN_325931000000109	0	cm:method	cm:SN_386053000
sn:SN_325931000000109	0	sn:SN_116680003	cm:Consultation
sn:SN_359993007	0	sn:SN_116680003	cm:EncounterDevice
sn:SN_370134009	0	sn:SN_116680003	cm:Concept
sn:SN_424226004	0	sn:SN_116680003	cm:Concept
sn:SN_721421000000101	0	sn:SN_116680003	cm:EncounterDevice
sn:SN_999002981000000107	0	sn:SN_116680003	cm:CareAdministration
sn:SN_999002991000000109	0	sn:SN_116680003	cm:CareAdministration
